"src","pat_text"
"drug","(-)-ambroxide"
"drug","(((1-methyl-2-(5-methyl-3-oxazolidinyl)ethoxy)methoxy)methoxy)methanol"
"drug","((2s,3s,5s)-2-(2-(2,6-dimethylphenoxy)acetamido)-5-((s)-3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanamido)-1,6-diphenylhexan-3-yl) 3-methyl-2-(2-oxotetrahydropyrimidin-1(2h)-yl)butanoate, (s)-"
"drug","((4-hydroxybutyl)azanediyl)bis(hexane-6,1-diyl)bis(2-hexyldecanoate)"
"drug","(1-cyanocyclohexyl)acetic acid"
"drug","(1,1-dimethylethyl)urea"
"drug","(1,2,6,7-3h)-testosterone"
"drug","(2-(((2-(2-amino-3-hydroxy-2-(hydroxymethyl)propoxy)-1-hydroxypropyl)hydroxyphosphoryl)oxy)-1-hydroxypropyl)phosphonate"
"drug","(2-amino-5,6-dichloroquinazolin-3(4h )-yl)acetic acid"
"drug","(2-carbethoxyethyl)diethoxy(methyl)silane"
"drug","(2-carbethoxyethyl)triethoxysilane"
"drug","(2-chlorophenyl)methyl 4-hydroxybenzoate"
"drug","(2-hydroxyethyl)(hydroxymethyl)amine"
"drug","(2s)-3-phenylpropane-1,2-diol"
"drug","(3-aminopropyl)diethanolamine"
"drug","(3-bromopropyl)benzene"
"drug","(3-chloropropyl)trimethoxysilane"
"drug","(3z)-hex-3-en-1-yl methyl carbonate"
"drug","(4-(trifluoromethoxy)phenyl)urea"
"drug","(9z)-9-octadecenyl acetate"
"drug","(all-z)-4,7,10,13,16-docosapentaenoic acid"
"drug","(c10-c30)alkyl methacrylate ester"
"drug","(dibutylamino)methanol"
"drug","(ethylenedinitrilo)tetraacetonitrile"
"drug","(n-(3-cholamidopropyl)-n-(3-lactobionamidopropyl))cholamide"
"drug","(p-hydroxyphenyl)dimethylsulfonium chloride"
"drug","(phthalocyaninato(2-)) copper"
"drug",".alpha.-(.alpha.-aminopropyl)benzyl alcohol"
"drug",".alpha.-amylcinnamaldehyde dimethyl acetal"
"drug",".alpha.-amylcinnamaldehyde, (e)-"
"drug",".alpha.-amylcinnamyl acetate"
"drug",".alpha.-chlorohydrin, (+/-)-"
"drug",".alpha.-citronellal"
"drug",".alpha.-cubebene, (-)-"
"drug",".alpha.-dihydroartemisinin"
"drug",".alpha.-ionene"
"drug",".alpha.-isomethionyl acetate, (2r)-(+)"
"drug",".alpha.-phellandrene"
"drug",".alpha.-terpinene"
"drug",".alpha.-terpinyl acetate, (+/-)-"
"drug",".alpha.,.beta.'-diglycerin"
"drug",".alpha.,.beta.-methylene adenosine 5'-diphosphate"
"drug",".alpha.n-(methoxycarbonyl)-l-arginine"
"drug",".beta.-amyloid protein-(1-6)-peptidylglycylglycyl-l-cysteine-3-(2,5-dioxo-2,5-dihydro-1h-pyrrole-1-yl)-n-(6-((2,5-dioxopyrrolidin-1-yl)oxy)-6-oxohexyl)propanamide-alanine"
"drug",".beta.-carophyllene alcohol"
"drug",".beta.-caryophyllene oxide"
"drug",".beta.-cyclodextrin sulfobutyl ether"
"drug",".beta.-d-glucouronic acid"
"drug",".beta.-eudesmol"
"drug",".beta.-glucogallin"
"drug",".beta.-ionone"
"drug",".beta.-ocimene, (3z)-"
"drug",".delta.-damascone"
"drug",".delta.-decalactone"
"drug",".delta.-dodecalactone"
"drug",".delta.-tocopherol"
"drug",".gamma.-tocopherol"
"drug","1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone"
"drug","1-(2,3,8,8-tetramethyl-1,2,3,4,5,6,7,8-octahydronaphthalen-2-yl)ethanone, trans-(+/-)-"
"drug","1-(2,3,8,8-tetramethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-2-yl)ethanone"
"drug","1-(2,4-dichlorophenyl)ethanol"
"drug","1-(3-amino-4-hydroxyphenyl)-2-((2-(4-methoxyphenyl)-1-methylethyl)amino)ethanol"
"drug","1-(3,4-dimethoxyphenyl)propane-1,2-diol"
"drug","1-(3,5-bis(trifluoromethyl)phenyl)ethanol"
"drug","1-(4-(4-chlorophenyl)-3-phenyl-2-butenyl)-pyrrolidine 1,5-naphthalenedisulfonate"
"drug","1-(4-chlorophenyl)-1-phenylethanol"
"drug","1-(4-hydroxy-3-methoxyphenyl)-decan-3-one"
"drug","1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphocholine"
"drug","1-(c14-c18 esteroyl)-2-docosahexanoyl-sn-glycero-3-phosphoethanolamine"
"drug","1-(ethyltrisulfanyl)propane"
"drug","1-alpha-vitamin d"
"drug","1-aminobutan-2-ol"
"drug","1-aminocyclopropanol"
"drug","1-bromo-3-chloro-5,5-dimethyl-2,4-imidazolidinedione"
"drug","1-butanol, 4-(ethenyloxy)-"
"drug","1-butene"
"drug","1-butyl oleate"
"drug","1-chloro-2-methyl-1-propene"
"drug","1-decene"
"drug","1-dehydro-7.alpha.-methyltestosterone"
"drug","1-eicosene"
"drug","1-ethoxyundecane"
"drug","1-ethyl-2-pyrrolecarboxaldehyde"
"drug","1-ethyl citrate"
"drug","1-glyceryl monooleate"
"drug","1-hexadecene"
"drug","1-hexadecyl-5-ethyl-2-methylpyridinium bromide"
"drug","1-kestose"
"drug","1-methyl-2-pyrrolidinone"
"drug","1-methylcyclohexa-1,3-diene"
"drug","1-methylhydantoin"
"drug","1-myristylpicolinium"
"drug","1-naphthalenesulfonic acid"
"drug","1-naphthol"
"drug","1-o-(2-methoxy-4-hexadecenyl)glycerol"
"drug","1-o-tetradecylglycerol"
"drug","1-octacosanol"
"drug","1-octadecanaminium, n,n-dimethyl-n-(3-(trihydroxysilyl)propyl)"
"drug","1-octanesulfonic acid"
"drug","1-octanol"
"drug","1-octen-3-ol"
"drug","1-octen-3-yl acetate"
"drug","1-octenylsuccinic acid"
"drug","1-p-menthene-8-thiol"
"drug","1-palmitoyl-2-linoleoyl-sn-glycero-3-phosphocholine"
"drug","1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol))"
"drug","1-phenylazo-2-naphthylamine"
"drug","1-phenylethanol"
"drug","1-propanaminium, 2-(acetyloxy)-3-carboxy-n,n,n-trimethyl-, inner salt, (2s)-"
"drug","1-propanol"
"drug","1-propoxy-2-propanol"
"drug","1-tetracosanol"
"drug","1-vinyl-2-pyrrolidone"
"drug","1,1'-((1-methyl-1,2-ethanediyl)2-propenoic acid, bis(oxy(1-methyl-2,1-ethanediyl))) ester"
"drug","1,1'-oxybis(2-propanol)"
"drug","1,1-bis(tert-butylperoxy)cyclohexane"
"drug","1,1-difluoroethane"
"drug","1,1-diphenylurea"
"drug","1,1,1-triethoxyethane"
"drug","1,1,1,2,2,3,3,4,4-nonafluorononane"
"drug","1,1,2,2-tetrafluoroethane"
"drug","1,1,3-tri(3-tert-butyl-4-hydroxy-6-methylphenyl)butane"
"drug","1,1,3-tris(2-chloroethoy)propane"
"drug","1,10-decanediol"
"drug","1,2-benzisothiazoline-3-one"
"drug","1,2-butanediol"
"drug","1,2-butylene glycol monococoate"
"drug","1,2-diarachidoyl-sn-glycero-3-phosphocholine"
"drug","1,2-dibromo-3-chloropropane"
"drug","1,2-dierucoyl-sn-glycero-3(phospho-rac-(1-glycerol))"
"drug","1,2-dilinoleoyl-sn-glycero-3-phosphocholine"
"drug","1,2-dimyristoyl-rac-glycero-3-methoxypolyethylene glycol 2000"
"drug","1,2-dimyristoyl-sn-glycero-3-(phospho-rac-(1-glycerol))"
"drug","1,2-dimyristoyl-sn-glycero-3-carboxaminopropylpolyethylene glycol 2000 methyl ether"
"drug","1,2-dioleoyl-sn-glycero-3-phosphocholine"
"drug","1,2-dipalmitoyl-sn-glycero-3-(phospho-rac-(1-glycerol))"
"drug","1,2-dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)"
"drug","1,2-dipalmitoylphosphatidylcholine"
"drug","1,2-distearoyl-sn-glycero-3-(phospho-rac-(1-glycerol))"
"drug","1,2-distearoyllecithin"
"drug","1,2-docosahexanoyl-sn-glycero-3-phosphoserine"
"drug","1,2-docosahexanoyl-sn-glycero-3-phosphoserine calcium"
"drug","1,2-hexanediol"
"drug","1,2-icosapentoyl-sn-glycero-3-phosphoserine"
"drug","1,2-icosapentoyl-sn-glycero-3-phosphoserine calcium"
"drug","1,2-naphthoquinone"
"drug","1,2-octanediol"
"drug","1,2-propanediamine"
"drug","1,2-propanediol, 1-benzoate"
"drug","1,2-propanedithiol"
"drug","1,2,3-propanetriol, 2-(4-aminobenzoate)"
"drug","1,2,3,4,5,6,7,8-octahydro-8,8-dimethyl-2-naphthalenecarbonitrile"
"drug","1,2,4-trihydroxybenzene"
"drug","1,2,6-hexanetriol"
"drug","1,3-benzenedisulfonic acid"
"drug","1,3-beta-glucan synthase component fks1"
"drug","1,3-bis((1-methylethyl)amino)propan-2-ol"
"drug","1,3-bis(benzothiazol-2-ylthiomethyl)urea"
"drug","1,3-butadiene"
"drug","1,3-butanedithiol"
"drug","1,3-butylene glycol"
"drug","1,3-butylene glycol 1-propionate"
"drug","1,3-butylene glycol 1-stearate"
"drug","1,3-butylene glycol cocoate"
"drug","1,3-butylene glycol dioleate"
"drug","1,3-butyleneglycol dimethacrylate"
"drug","1,3-dibromo-5,5-dimethylhydantoin"
"drug","1,3-dichloro-2-propanol"
"drug","1,3-dimethylbutyl salicylate"
"drug","1,3-dimethylol-5,5-dimethylhydantoin"
"drug","1,3-dimethylurea"
"drug","1,3-propanediol"
"drug","1,3-propanediol bis(4-aminobenzoate)"
"drug","1,3,3,3-tetrafluoropropene, (1e)-"
"drug","1,3,5-triethylbenzene"
"drug","1,4-benzoquinone"
"drug","1,4-butanediol monostearate"
"drug","1,4-butanedithiol"
"drug","1,4-diphenyl-1,3-butadiene"
"drug","1,4-naphthoquinone"
"drug","1,4-sorbitan"
"drug","1,5-pentanediol"
"drug","1,6-hexamethylene diisocyanate"
"drug","1,9-decadiene"
"drug","1.alpha.,24s-dihydroxyvitamin d2"
"drug","10-(n-methylpiperidyliden-4)-1-azathioxanthene malonate"
"drug","10-hydroxydecanoate"
"drug","10-hydroxystearic acid"
"drug","10-undecenal"
"drug","12-(9-anthroyloxy)stearic acid"
"drug","12-hydroxyeicosapentaenoic acid, (12r)-"
"drug","12-hydroxystearate"
"drug","12-oxooctadecanoic acid"
"drug","16-methylheptadecanoic acid"
"drug","17-alpha-hydroxyprogesterone"
"drug","17-hydroxystearic acid"
"drug","1h,5h-cyclopenta(3,4)(1)benzopyrano(6,7,8-ij)quinolizin-12(9h)-one, 2,3,6,7,10,11-hexahydro-"
"drug","2'-deoxyadenosine"
"drug","2'-deoxyguanosine"
"drug","2'-fucosyllactose"
"drug","2'-hydroxyacetophenone"
"drug","2',3'-dihydroxyacetophenone"
"drug","2-((dimethylamino)methyl)-1,3-diphenyl-1-propanol, erythro-"
"drug","2-(1-chlorocyclopropyl)-3-(2-chlorophenyl)-1,2-propanediol"
"drug","2-(2-(2-(2-phenoxyethoxy)ethoxy)ethoxy)ethanol"
"drug","2-(2-(2-bornyloxy)ethoxy)triethylamine"
"drug","2-(2-(2-hydroxypropoxy)propoxy)-1-propanol"
"drug","2-(2-(4-methylcyclohex-3-en-1-yl)propyl)cyclopentan-1-one"
"drug","2-(2-aminoethoxy)ethanol"
"drug","2-(2-ethylhexyloxy)ethanol"
"drug","2-(3-oxazolidinyl)ethyl methacrylate"
"drug","2-(4-(diethylamino)-2-hydroxybenzoyl)benzoic acid"
"drug","2-(bis(2-methylpropyl)phenoxy)-ethanol"
"drug","2-(cyclohexylamino)ethanesulfonic acid"
"drug","2-(dibutylamino)ethyl methacrylate"
"drug","2-(dipropylamino)ethanol"
"drug","2-(l-menthoxy)ethanol"
"drug","2-(methylamino)ethanol"
"drug","2-(mpeg 2000)-n,n-ditetradecylacetamide"
"drug","2-(n-morpholino)ethanesulfonic acid"
"drug","2-(perfluorohexyl)ethanol"
"drug","2-(phosphonooxy)- 2-propenoate"
"drug","2-acetonaphthone"
"drug","2-acetoxy-1, 8-cineole, (+)-endo-"
"drug","2-acrylamido-2-methyl-1-propanesulfonic acid"
"drug","2-amino-1-butanol"
"drug","2-amino-1,3-propanediol"
"drug","2-amino-2-ethyl-1,3-propanediol"
